"title","rating","poster","totalRatings","releaseDate","genres"
"Game of Thrones","9.4","https://m.media-amazon.com/images/M/MV5BMjA5NzA5NjMwNl5BMl5BanBnXkFtZTgwNjg2OTk2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg","1,514,837","TV Series (2011–2019)","[""Action"",""Adventure"",""Drama""]"
"Battle of the Bastards","9.9","https://m.media-amazon.com/images/M/MV5BZDFiZTNiMmItMDk5ZC00OGZmLTk3NmItODM5ZWE2YWMzZjliXkEyXkFqcGdeQXVyOTMyOTQyNzA@._V1_UY268_CR110,0,182,268_AL_.jpg","177,076","Episode aired 19 June 2016","[""Action"",""Adventure"",""Drama""]"
